Issue Id,Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Parent Id,Story Points,Sprint,Components,Acceptance Criteria
FIN-011,Story,"Lancamento de receita","Tela de receita com emissao, competencia, cliente, conta N4, centro de custo, valor e vencimento.",Highest,"receita,mvp",,,FIN-EPIC-02,8,MVP-S2,"frontend,backend","Nao salvar receita sem cliente e conta N4."
FIN-012,Story,"Parcelamento de lancamentos","Gerar N parcelas com vencimentos, juros, multa, desconto e historico por parcela.",Highest,"parcelas,mvp",,,FIN-EPIC-02,8,MVP-S2,"frontend,backend","Cada parcela vira titulo independente em aberto."
FIN-013,Story,"Status financeiro automatico","Definir status open, paid, received, overdue conforme data de baixa e vencimento.",Highest,"status,mvp",,,FIN-EPIC-02,5,MVP-S2,"backend","Sem data de baixa fica open; vencido sem baixa vira overdue."
FIN-014,Story,"Contas a pagar - lista e filtros","Tela AP com filtros por vencimento, fornecedor, categoria, centro de custo e status.",Highest,"ap,mvp",,,FIN-EPIC-02,5,MVP-S2,"frontend,backend","Filtro retorna titulos corretos e totais por status."
FIN-015,Story,"Workflow AP: programar aprovar pagar conciliar","Implementar etapas com trilha de usuario/data e bloqueio por permissao.",Highest,"aprovacao,mvp",,,FIN-EPIC-02,8,MVP-S2,"frontend,backend,security","Apenas perfil autorizado aprova e baixa pagamento."
FIN-016,Story,"Contas a receber - lista e filtros","Tela AR com filtros equivalentes ao AP e visao por cliente.",Highest,"ar,mvp",,,FIN-EPIC-02,5,MVP-S2,"frontend,backend","Filtros e totais consistentes com lancamentos de receita."
FIN-017,Story,"Baixa parcial de recebimento","Permitir baixa parcial e manter saldo residual em aberto ate quitacao total.",High,"ar,mvp",,,FIN-EPIC-02,5,MVP-S2,"frontend,backend","Saldo residual calculado corretamente apos cada baixa parcial."
FIN-018,Story,"Transferencia entre contas internas","Registrar transferencia entre conta origem e destino sem afetar resultado.",Medium,"tesouraria,should",,,FIN-EPIC-02,3,V2-S3,"frontend,backend","Movimento altera caixa mas nao entra em receita/despesa."
FIN-019,Story,"Conciliação bancaria","Importar extrato e conciliar titulos por valor/data/documento.",High,"conciliacao,mvp",,,FIN-EPIC-02,8,MVP-S4,"frontend,backend","Titulos conciliados ficam marcados e auditados."
FIN-020,Story,"Alertas financeiros operacionais","Alertas para vencendo hoje, atrasadas, e proximas 7/15/30 dias.",High,"alerta,mvp",,,FIN-EPIC-02,3,MVP-S4,"frontend,backend","Painel mostra contagem por janela de vencimento."
FIN-021,Story,"Cadastro de funcionario ligado a pessoas","Aproveitar cadastro de pessoas e ativar dados de vinculo trabalhista.",High,"rh,should",,,FIN-EPIC-03,5,V2-S3,"frontend,backend","Funcionario cadastrado reutiliza pessoa existente."
FIN-022,Story,"Eventos de folha e encargos","Registrar salario, encargos, beneficios, premio, rescisao e treinamentos.",High,"rh,should",,,FIN-EPIC-03,8,V2-S3,"frontend,backend","Eventos de RH geram despesas com classificacao adequada."
FIN-023,Story,"Rateio de funcionario por centro de custo","Configurar percentual por funcionario (ex: 70% pecuaria, 30% agricultura).",High,"rh,rateio,should",,,FIN-EPIC-03,5,V2-S3,"frontend,backend","Somatorio por funcionario deve fechar 100%."
FIN-024,Story,"Indicador custo de pessoal por centro","Apurar custo mensal de pessoal por centro e por unidade produtiva.",High,"rh,kpi,should",,,FIN-EPIC-03,5,V2-S3,"analytics,backend","Relatorio mensal apresenta custo por centro e total consolidado."
FIN-025,Story,"Dashboard de caixa atual","KPI de caixa por conta e consolidado com corte por data de referencia.",Highest,"dashboard,mvp",,,FIN-EPIC-04,3,MVP-S4,"frontend,backend,analytics","Valores iguais ao saldo conciliado do periodo."
FIN-026,Story,"Fluxo de caixa realizado e projetado","Curva semanal/mensal com realizado e previsao por titulos em aberto.",Highest,"dashboard,mvp",,,FIN-EPIC-04,8,MVP-S4,"frontend,backend,analytics","Projecao considera vencimento e status dos titulos."
FIN-027,Story,"DRE simplificada","Receita - despesas operacionais - investimentos - resultado por periodo.",Highest,"dre,mvp",,,FIN-EPIC-04,5,MVP-S4,"frontend,backend,analytics","DRE bate com somatorios do plano de contas."
FIN-028,Story,"Top 10 despesas por categoria e fornecedor","Analise de concentracao de gasto para negociacao e corte de custo.",High,"dashboard,mvp",,,FIN-EPIC-04,3,MVP-S4,"frontend,analytics","Ranking respeita filtros de periodo, fazenda e centro."
FIN-029,Story,"Relatorio aging AP e AR","Faixas 0-30, 31-60, 61-90, 90+ para pagar e receber.",High,"relatorio,mvp",,,FIN-EPIC-04,5,MVP-S4,"frontend,backend,analytics","Aging mostra quantidade e valor por faixa e total."
FIN-030,Story,"Exportacao CSV XLSX PDF","Exportar visoes com filtros aplicados e carimbo de geracao.",High,"export,mvp",,,FIN-EPIC-04,5,MVP-S4,"frontend,backend","Arquivo exportado preserva filtros e colunas visiveis."
FIN-031,Story,"Orcado vs realizado","Comparar previsao de custo/receita com valor realizado por centro e conta.",Medium,"orcamento,could",,,FIN-EPIC-04,8,V3-S5,"frontend,backend,analytics","Desvio percentual e valor absoluto por periodo e categoria."
FIN-032,Story,"Perfis e permissoes por modulo financeiro","Perfis Admin, Financeiro, RH, Gestor, Auditor com matriz de permissao.",Highest,"seguranca,mvp",,,FIN-EPIC-05,5,MVP-S4,"backend,security,frontend","Usuario sem permissao nao acessa acao sensivel."
FIN-033,Story,"Aprovacao por alcada","Exigir aprovador conforme faixa de valor do titulo.",Highest,"aprovacao,mvp",,,FIN-EPIC-05,5,MVP-S4,"backend,security","Titulos acima da alcada nao podem ser pagos sem aprovacao."
FIN-034,Story,"Trilha de auditoria e logs","Registrar create/update/delete/approve/pay/receive com usuario e timestamp.",Highest,"auditoria,mvp",,,FIN-EPIC-05,5,MVP-S4,"backend,security","Historico imutavel consultavel por filtro e exportavel."
